,Bedrooms,Bathrooms,Offers,Neighborhood_East,Neighborhood_North,Neighborhood_West,Brick_No,Brick_Yes,Price,SqFt,pred
86,4,2,4,0,1,0,1,0,102700,1900.0,110114.51104334551
97,2,2,1,1,0,0,0,1,126800,2000.0,134029.40904343556
89,2,2,4,0,1,0,1,0,97800,2010.0,115444.82061300648
20,3,2,3,1,0,0,1,0,116200,1790.0,104784.20147368456
118,3,2,3,0,1,0,0,1,150200,1950.0,131606.54105722602
87,3,3,1,0,0,1,0,1,172500,1880.0,160696.63622878236
114,4,3,2,1,0,0,1,0,124500,2010.0,115444.82061300648
25,4,3,3,0,1,0,1,0,149300,2290.0,129012.88133577985
39,3,2,2,0,1,0,1,0,108200,1740.0,102361.33348747503
99,3,3,2,0,0,1,0,1,171000,2080.0,170388.10817362048
4,3,3,3,1,0,0,1,0,119800,2130.0,121259.70377990935
126,3,3,1,0,0,1,1,0,149900,2020.0,148411.50456249804
10,3,2,3,1,0,0,0,1,132500,2030.0,135483.12983516126
101,3,3,5,1,0,0,1,0,123100,2260.0,127559.16054405413
120,2,3,3,0,1,0,1,0,110400,1930.0,111568.23183507123
110,2,2,1,0,1,0,1,0,111600,1710.0,100907.61269574931
57,4,3,3,0,0,1,1,0,152300,2240.0,159072.12370181998
52,2,3,4,0,1,0,1,0,117400,2150.0,122228.85097439316
54,3,2,3,0,1,0,1,0,81570,1650.0,98000.17111229787
79,4,2,1,0,0,1,1,0,143600,1780.0,136781.73822869232
66,3,3,4,0,1,0,1,0,126200,2210.0,125136.2925578446
5,3,2,2,0,1,0,1,0,114600,1780.0,104299.62787644265
94,4,3,3,0,0,1,0,1,160600,2150.0,173780.1233543138
36,2,2,2,0,1,0,1,0,117500,1880.0,109145.3638488617
7,4,2,2,0,0,1,1,0,150700,2160.0,155195.53492388473
100,3,2,5,0,1,0,1,0,103200,2010.0,115444.82061300648
102,3,3,4,1,0,0,1,0,136800,2410.0,134827.7645026827
84,2,2,3,0,1,0,1,0,90500,1530.8,92224.05383317434
18,2,2,1,1,0,0,0,1,111400,1700.0,119492.20112617839
119,2,2,4,0,1,0,1,0,109700,1920.0,111083.65823782932
117,3,2,2,0,1,0,1,0,117800,1920.0,111083.65823782932
44,3,3,2,0,0,1,0,1,166500,1940.0,163604.0778122338
106,3,2,4,0,1,0,1,0,108500,2130.0,121259.70377990935
70,3,3,3,0,0,1,0,1,166700,1950.0,164088.65140947571
56,3,2,3,1,0,0,0,1,140900,2190.0,143236.30739103176
72,3,2,3,0,1,0,1,0,107300,1650.0,98000.17111229787
41,4,3,2,0,0,1,1,0,133600,1840.0,139689.17981214373
16,3,3,4,1,0,0,0,1,147100,2190.0,143236.30739103176
45,3,2,3,1,0,0,1,0,103200,1810.0,105753.34866816836
31,2,2,2,0,1,0,0,1,112300,1930.0,130637.39386274222
112,2,2,2,1,0,0,0,1,123600,1940.0,131121.96745998412
91,3,2,2,1,0,0,1,0,116500,2150.0,122228.85097439316
13,3,3,5,0,1,0,0,1,126300,2150.0,141298.01300206414
88,3,3,2,0,1,0,1,0,127700,1930.0,111568.23183507123
28,2,2,3,0,1,0,1,0,81570,1600.0,95577.30312608834
46,2,3,2,0,1,0,1,0,129800,1990.0,114475.67341852267
60,3,3,1,0,0,1,1,0,180900,2200.0,157133.82931285235
71,4,2,1,0,0,1,1,0,157600,2160.0,155195.53492388473
14,4,3,4,0,0,1,1,0,176800,2505.7000000000003,171947.24418053744
81,4,3,2,0,0,1,0,1,184300,2140.0,173295.54975707192
96,3,3,3,1,0,0,1,0,133300,2440.0,136281.48529440843
65,2,2,1,0,1,0,0,1,111100,1530.8,111293.21586084533
12,3,2,4,0,1,0,1,0,102600,1910.0,110599.08464058742
19,3,3,2,0,0,1,0,1,167200,1920.0,162634.93061774998
2,3,2,1,1,0,0,1,0,114800,1740.0,102361.33348747503
3,3,2,3,1,0,0,1,0,94700,1980.0,113991.09982128076
107,3,2,1,1,0,0,0,1,134000,1890.0,128699.0994737746
75,2,2,2,0,1,0,1,0,106900,1900.0,110114.51104334551
0,2,2,2,1,0,0,1,0,114300,1790.0,104784.20147368456
11,2,2,2,1,0,0,0,1,123000,1870.0,127729.95227929078
67,4,3,3,1,0,0,1,0,151900,2040.0,116898.5414047322
125,2,2,2,0,1,0,1,0,113500,2070.0,118352.26219645792
34,2,2,3,0,1,0,1,0,117800,2000.0,114960.24701576457
37,4,3,4,0,0,1,1,0,147000,2420.0,167794.44845217429
123,3,3,3,1,0,0,0,1,119700,1900.0,129183.6730710165
50,3,2,3,1,0,0,0,1,151100,2100.0,138875.14501585462
127,3,3,4,0,1,0,1,0,124600,2250.0,127074.58694681223
73,3,3,2,1,0,0,1,0,125700,2040.0,116898.5414047322
80,3,3,4,1,0,0,0,1,143400,2190.0,143236.30739103176
69,4,3,3,0,0,1,1,0,165600,2080.0,151318.94614594948
92,3,2,2,0,0,1,1,0,142600,2110.0,152772.66693767518
58,3,3,1,0,0,1,1,0,138100,1840.0,139689.17981214373
122,2,2,1,1,0,0,0,1,144800,2060.0,136936.850626887
108,3,3,3,1,0,0,0,1,117000,1990.0,133544.83544619364
115,3,3,3,0,1,0,1,0,102500,1900.0,110114.51104334551
43,3,2,1,1,0,0,0,1,154000,1920.0,130152.82026550031
30,4,3,3,0,0,1,0,1,182000,2250.0,178625.8593267329
26,4,2,3,0,0,1,1,0,137000,2000.0,147442.35736801423
105,4,3,4,0,0,1,1,0,146900,2505.7000000000003,171947.24418053744
23,3,2,3,0,1,0,0,1,106100,1820.0,125307.08429308125
49,3,2,3,0,1,0,0,1,107500,1700.0,119492.20112617839
15,4,2,1,0,0,1,1,0,145800,1780.0,136781.73822869232
24,4,3,2,1,0,0,0,1,156400,2210.0,144205.4545855156
116,5,4,1,0,0,1,0,1,196476,2290.0,180564.15371570052
76,3,2,2,0,0,1,1,0,129800,1930.0,144050.3421873209
53,3,2,3,0,1,0,1,0,130800,2100.0,119805.98298818363
38,3,2,1,0,0,1,1,0,131300,1720.0,133874.2966452409
83,3,3,2,1,0,0,1,0,147700,2410.0,134827.7645026827
47,3,2,6,0,1,0,1,0,90300,2050.0,117383.1150019741
